product_id,product_name,category,style,fit,fabric,color,price,sustainability_score,views,cart_adds,purchases,revenue,return_rate,customer_rating,season,launch_date
P001,Align High-Rise Pant,Womens Joggers,Athletic,High-Rise,Nulu,Black,128,85,15234,3421,2134,273152,0.12,4.8,Q1,2025-01-01
P002,Wunder Train Tight,Womens Joggers,Athletic,High-Rise,Everlux,Navy,138,90,12456,2890,1876,258888,0.08,4.7,Q1,2025-01-05
P003,Scuba Oversized Hoodie,Womens Tops,Casual,Oversized,Cotton-Fleece,Heather Gray,148,75,18765,4532,3210,475080,0.05,4.9,Q1,2025-01-10
P004,ABC Jogger,Mens pants,Casual,Relaxed,Warpstreme,Khaki,138,80,9876,2103,1456,200928,0.15,4.5,Q1,2025-01-15
P005,Define Jacket,Womens Outerwear,Athletic,Fitted,Luon,White,158,70,11234,2456,1678,265124,0.1,4.6,Q1,2025-01-20
P006,Fast and Free Short,Womens Joggers,Athletic,High-Rise,Nulux,Pink,78,95,8765,1876,1234,96252,0.07,4.8,Q2,2025-04-01
P007,Metal Vent Tech Shirt,Mens Tops,Athletic,Fitted,Mesh,Blue,88,60,7654,1543,987,86856,0.18,4.4,Q2,2025-04-05
P008,Groove Pant,Womens Joggers,Casual,High-Rise,Nulu,Black,138,88,14567,3234,2345,323610,0.06,4.9,Q2,2025-04-10
P009,City Excursion Hoodie,Mens Tops,Casual,Regular,Cotton-Modal,Gray,168,72,6789,1234,876,147168,0.2,4.3,Q2,2025-04-15
P010,Swiftly Tech Racerback,Womens Tops,Athletic,Fitted,Silverescent,Red,68,85,16789,3890,2876,195568,0.04,4.8,Q2,2025-04-20
P011,Product 11,Womens Joggers,Lifestyle,Fitted,Cotton-Blend,Purple,162,82,16820,2158,1808,139752,0.13,3.7,Q1,2025-04-01
P012,Product 12,Womens Outerwear,Business Casual,Fitted,Warpstreme,White,150,77,19753,2918,2659,225264,0.02,4.4,Q1,2025-06-15
P013,Product 13,Womens Joggers,Athletic,Mid-Rise,Warpstreme,Green,155,87,13480,3966,1818,246329,0.2,4.5,Q1,2025-06-28
P014,Product 14,Womens Tops,Casual,Relaxed,Merino Wool,Navy,92,66,9788,2492,2331,231773,0.21,3.6,Q1,2025-05-12
P015,Product 15,Womens Tops,Athletic,High-Rise,Nulux,Green,118,85,9201,1670,2057,171577,0.21,4,Q2,2025-04-04
P016,Product 16,Mens Tops,Business Casual,Regular,Nulux,Purple,140,85,5611,3405,953,250091,0.02,3.8,Q2,2025-06-04
P017,Product 17,Womens Joggers,Athletic,Relaxed,Warpstreme,Green,123,67,16244,3144,1712,316298,0.04,3.8,Q2,2025-05-08
