product_id,product_name,category,category.1,style,fit,fabric,color,price,sustainability_score,views,cart_adds,purchases,purchases.1,revenue,return_rate,return_rate.1,customer_rating,season,launch_date,normalized_color,normalized_fabric,normalized_fit,normalized_size,normalized_price_band,normalized_style,attribute_tags,category.2,category.3,subcategory,region,city_tier,customer_age_group,customer_gender,date_first_listed,week,month,impressions,product_views,clicks,click_through_rate,add_to_cart,add_to_cart_rate,purchases.2,purchases.3,conversion_rate,returns,return_rate.2,return_rate.3,repeat_purchases,loyalty_flag,days_to_repeat,attr_contrib_conversion,attr_contrib_return,attr_contrib_loyalty,return_risk_score,loyalty_attribute_score,top_attribute_influence,listed_price_inr
P001,Pace Breaker Hooded Stretch‑Woven Jacket,Men,Men,Athletic,High-Rise,Nulu,Black,128,85,15234,3421,2134,717,273152,0.12,0.2488031127954708,4.8,Q1,2025-01-01,Neon Green,Cotton,Slim,M,Mid,Jacket,Neon Green|Cotton|Slim|M|Mid|Training Shoes,Womens Joggers,Men,Running,Canada,Tier-1,18-24,Unisex,2025-08-11,2025-W33,2025-08,38115,8335,6846,0.1796143250688705,2197,0.2635872825434913,2134,717,0.0860227954409118,178,0.12,0.2488031127954708,158,1,7.0,0.1543123346131482,-0.0295815980253461,0.192369092921794,33.4083852495134,26.731286789452312,Fit,19599
P002,Scuba Oversized Full‑Zip Hoodie,Women,Men,Athletic,High-Rise,Everlux,Navy,138,90,12456,2890,1876,1975,258888,0.08,0.2435200779940225,4.7,Q1,2025-01-05,Olive,Nulu,Compression,L,Premium,Hoodie,Olive|Nulu|Compression|L|Premium|T-Shirt,Womens Joggers,Men,Casual,East India,Tier-1,25-34,Unisex,2024-12-15,2024-W50,2024-12,10134,2039,2039,0.201203868166568,2039,1.0,1876,1975,0.9686120647376164,480,0.08,0.2435200779940225,1160,1,10.0,0.5185970194842149,0.3143139355039753,0.7152987602855547,24.92623163717265,67.72564843279375,Price,14299
P003,Steady State Kangaroo‑Pocket Hoody,Men,Women,Casual,Oversized,Cotton-Fleece,Heather Gray,148,75,18765,4532,3210,752,475080,0.05,0.1351704728265387,4.9,Q1,2025-01-10,Black,Swift,Oversized,XS,Premium,Hoodie,Black|Swift|Oversized|XS|Premium|Training Shoes,Womens Tops,Women,Casual,Canada,Tier-2,45-54,Men,2025-01-25,2025-W04,2025-01,18513,8058,7342,0.3965861826824394,2970,0.3685778108711839,3210,752,0.0933234053114916,101,0.05,0.1351704728265387,325,1,25.0,0.2284115464832825,-0.3236626549193511,0.2969165961303494,15.457378702136792,45.83324927776789,Price,15499
P004,ABC Jogger Warpstreme,Men,Women,Casual,Relaxed,Warpstreme,Khaki,138,80,9876,2103,1456,123,200928,0.15,0.0530964255867876,4.5,Q1,2025-01-15,Cobalt Blue,Everlux,Oversized,XL,Low,Joggers,Cobalt Blue|Everlux|Oversized|XL|Low|Sports Bra,Mens pants,Women,Training,SEA,Metro,35-44,Unisex,2025-04-11,2025-W15,2025-04,23602,123,123,0.0052114227607829,123,1.0,1456,123,1.0,6,0.15,0.0530964255867876,23,1,80.0,0.4652468689503495,0.0999155391239874,-0.0656330866869385,3.3886832587885207,17.56495295691595,Fabric,12999
P005,Metal Vent Tech Short Sleeve Shirt,Men,Women,Athletic,Fitted,Luon,White,158,70,11234,2456,1678,2642,265124,0.1,0.0232053461728863,4.6,Q1,2025-01-20,Navy,Merino Wool,Relaxed,M,Premium,T-Shirt,Navy|Merino Wool|Relaxed|M|Premium|Duffel Bag,Womens Outerwear,Women,Training,North India,Metro,45-54,Women,2025-04-13,2025-W15,2025-04,25140,7978,3480,0.1384248210023866,2744,0.3439458510904988,1678,2642,0.3311606919027325,61,0.1,0.0232053461728863,1634,1,45.0,0.0065317160323718,0.3218538082871518,0.1653784631991334,2.475278653338802,57.41573320557862,Price,8999
P006,"Align High-Rise Pant 25""",Women,Men,Athletic,High-Rise,Nulux,Pink,78,95,8765,1876,1234,578,96252,0.07,0.0728208868997367,4.8,Q2,2025-04-01,White,Merino Wool,Classic,M,Mid,Leggings,White|Merino Wool|Classic|M|Mid|Hoodie,Womens Joggers,Men,Yoga,SEA,Metro,45-54,Unisex,2024-11-15,2024-W46,2024-11,2668,2668,2668,1.0,1595,0.5978260869565217,1234,578,0.2166416791604198,42,0.07,0.0728208868997367,318,1,65.0,0.1489352626783366,0.4322315004978998,-0.1328333311522331,16.487962493261826,55.22525743066309,Fit,10999
P007,Swiftly Tech Long-Sleeve Crew,Women,Women,Athletic,Fitted,Mesh,Blue,88,60,7654,1543,987,1018,86856,0.18,0.0503191100908998,4.4,Q2,2025-04-05,Heather Grey,Luon,Classic,XL,Low,T-Shirt,Heather Grey|Luon|Classic|XL|Low|Tank,Mens Tops,Women,Running,USA,Metro,35-44,Unisex,2025-08-12,2025-W33,2025-08,27555,7814,1018,0.0369442932317183,1018,0.1302789864346045,987,1018,0.1302789864346045,51,0.18,0.0503191100908998,217,1,41.0,0.1782699369041199,0.3403247815556884,0.0019790376887815,6.322563257681464,19.86001399513528,Fit,9499
P008,City Adventurer Backpack Mini,Unisex,Men,Casual,High-Rise,Nulu,Black,138,88,14567,3234,2345,413,323610,0.06,0.1758614949309572,4.9,Q2,2025-04-10,Navy,Merino Wool,Relaxed,L,Mid,Duffel Bag,Navy|Merino Wool|Relaxed|L|Mid|Training Shoes,Womens Joggers,Men,Casual,EU,Tier-2,45-54,Men,2025-01-10,2025-W02,2025-01,8137,6665,4460,0.5481135553643849,4460,0.6691672918229558,2345,413,0.0619654913728432,72,0.06,0.1758614949309572,200,1,21.0,-0.2055182556935365,-0.3667263455189432,-0.1823312190000878,21.22515563828781,43.40052365779345,Color,11999
P009,Chargefeel Low Women’s Training Shoe,Women,Men,Casual,Regular,Cotton-Modal,Gray,168,72,6789,1234,876,700,147168,0.2,0.0480214760645621,4.3,Q2,2025-04-15,Heather Grey,Nulu,Relaxed,XXS,Premium,Training Shoes,Heather Grey|Nulu|Relaxed|XXS|Premium|Training Shoes,Mens Tops,Men,Training,USA,Tier-2,55+,Unisex,2025-07-03,2025-W27,2025-07,37297,4742,4045,0.1084537630372416,1581,0.3334036271615352,876,700,0.1476170392239561,33,0.2,0.0480214760645621,183,1,37.0,0.0586972560313865,-0.0645678928239392,0.2532799165001634,6.918448703616679,36.50055952917175,Price,12999
P010,Surge Jogger,Men,Men,Athletic,Fitted,Silverescent,Red,68,85,16789,3890,2876,2350,195568,0.04,0.1364558842727456,4.8,Q2,2025-04-20,Black,Recycled Polyester,Relaxed,S,Premium,Joggers,Black|Recycled Polyester|Relaxed|S|Premium|Training Shoes,Womens Tops,Men,Running,East India,Metro,35-44,Men,2025-08-10,2025-W32,2025-08,34310,7066,6273,0.182832993296415,4672,0.6611944523068214,2876,2350,0.3325785451457684,320,0.04,0.1364558842727456,1221,1,14.0,0.5256039052965085,-0.3561713749175338,0.4345402649517971,25.714250748118587,60.890031229330205,Price,11499
